city,Latitude,Longitude,"Max temp, F",Humidity %,Cloudiness,"Wind Speed, mph",Country,Date
vila franca do campo,37.72,-25.43,69.8,68.0,40.0,6.93,PT,1595532787.0
larap,14.3,122.65,79.21,88.0,100.0,4.79,PH,1595532862.0
nioro,13.35,-15.75,79.23,82.0,88.0,5.12,GM,1595532862.0
kalmunai,7.42,81.82,79.43,81.0,95.0,15.05,LK,1595532690.0
paita,-5.09,-81.11,73.4,69.0,2.0,18.34,PE,1595532706.0
kahului,20.89,-156.47,86.0,48.0,20.0,16.11,US,1595532423.0
aswan,24.09,32.91,91.78,14.0,0.0,12.12,EG,1595532863.0
betsiamites,48.94,-68.65,71.6,56.0,75.0,6.93,CA,1595532863.0
port-gentil,-0.72,8.78,77.0,83.0,20.0,12.73,GA,1595532863.0
juneau,58.3,-134.42,55.4,87.0,90.0,9.17,US,1595532718.0
santa fe,-31.63,-60.7,48.0,85.0,100.0,8.99,AR,1595532863.0
ransang,8.96,117.58,79.14,78.0,100.0,3.69,PH,1595532863.0
oranjestad,12.52,-70.03,89.6,62.0,75.0,20.8,AW,1595532612.0
shar,49.59,81.05,65.34,47.0,69.0,7.09,KZ,1595532864.0
ninghai,29.29,121.42,84.2,74.0,40.0,4.47,CN,1595532789.0
antofagasta,-23.65,-70.4,59.0,62.0,20.0,18.34,CL,1595532622.0
shunyi,40.12,116.65,82.99,88.0,73.0,2.24,CN,1595532864.0
neiafu,-18.65,-173.98,73.4,94.0,40.0,2.24,TO,1595532864.0
lazaro cardenas,17.96,-102.2,86.2,65.0,76.0,7.63,MX,1595532864.0
husavik,66.04,-17.34,50.0,66.0,75.0,14.99,IS,1595532865.0
owando,-0.48,15.9,76.87,72.0,100.0,3.22,CG,1595532865.0
isoka,-10.16,32.63,52.11,75.0,0.0,2.53,ZM,1595532865.0
hamilton,39.18,-84.53,87.01,74.0,75.0,8.05,US,1595532481.0
egvekinot,66.32,-179.17,59.16,52.0,41.0,3.98,RU,1595532726.0
kichera,55.94,110.1,56.79,77.0,6.0,3.6,RU,1595532865.0
abu dhabi,24.47,54.37,93.2,70.0,0.0,9.17,AE,1595532851.0
loutros,40.59,22.4,82.99,51.0,0.0,1.01,GR,1595532865.0
kyzyl-suu,42.34,78.0,60.62,34.0,37.0,5.3,KG,1595532866.0
salalah,17.02,54.09,80.6,88.0,40.0,6.93,OM,1595532490.0
san quintin,30.48,-115.95,70.29,62.0,0.0,12.26,MX,1595532866.0
bilma,18.69,12.92,94.39,12.0,0.0,9.35,NE,1595532866.0
venice,27.1,-82.45,75.99,94.0,75.0,9.17,US,1595532710.0
constitucion,-35.33,-72.42,52.02,71.0,42.0,3.02,CL,1595532731.0
sazonovo,59.09,35.23,49.73,92.0,34.0,4.0,RU,1595532866.0
sisimiut,66.94,-53.67,53.11,71.0,9.0,8.5,GL,1595532867.0
pozo colorado,-23.49,-58.8,89.69,26.0,0.0,6.62,PY,1595532867.0
sagone,42.12,8.7,78.8,74.0,0.0,2.24,FR,1595532867.0
tura,25.52,90.22,74.57,98.0,100.0,5.41,IN,1595532718.0
igbon,11.21,123.17,80.38,82.0,100.0,5.91,PH,1595532867.0
daye,30.08,114.95,79.74,87.0,100.0,2.21,CN,1595532868.0
marsh harbour,26.54,-77.06,84.22,74.0,59.0,17.31,BS,1595532809.0
nhulunbuy,-12.23,136.77,69.8,100.0,0.0,4.7,AU,1595532868.0
colac,-38.33,143.58,37.99,91.0,88.0,2.84,AU,1595532868.0
yeppoon,-23.13,150.73,55.4,93.0,40.0,11.54,AU,1595532755.0
winnemucca,40.97,-117.74,82.4,26.0,1.0,8.66,US,1595532868.0
gushikawa,26.35,127.87,84.2,88.0,20.0,5.82,JP,1595532868.0
masallatah,32.62,14.0,72.5,84.0,0.0,6.55,LY,1595532868.0
port-cartier,50.03,-66.87,70.0,64.0,75.0,8.05,CA,1595532869.0
pleasanton,37.66,-121.87,80.01,49.0,1.0,9.17,US,1595532869.0
donskoye,45.46,41.97,71.6,46.0,0.0,8.95,RU,1595532869.0
vao,-22.67,167.48,69.21,79.0,0.0,18.48,NC,1595532760.0
quelimane,-17.88,36.89,69.8,77.0,40.0,2.24,MZ,1595532869.0
havre-saint-pierre,50.23,-63.6,73.4,53.0,1.0,10.29,CA,1595532772.0
san jeronimo,-11.95,-75.28,59.92,44.0,46.0,10.92,PE,1595532869.0
beidao,34.57,105.89,67.24,88.0,100.0,1.88,CN,1595532870.0
permet,40.23,20.35,78.01,49.0,25.0,1.01,AL,1595532870.0
krutinka,56.01,71.51,51.89,79.0,0.0,8.66,RU,1595532870.0
richards bay,-28.78,32.04,61.47,77.0,0.0,7.92,ZA,1595532870.0
noumea,-22.28,166.46,60.8,87.0,0.0,2.24,NC,1595532605.0
hagi,34.4,131.42,77.0,94.0,75.0,19.46,JP,1595532870.0
luziania,-16.25,-47.95,78.8,31.0,0.0,5.82,BR,1595532870.0
kudahuvadhoo,2.67,72.89,82.72,74.0,100.0,10.76,MV,1595532871.0
pohrebyshche,49.49,29.26,68.0,56.0,100.0,3.0,UA,1595532871.0
bilibino,68.05,166.44,70.79,41.0,0.0,5.03,RU,1595532871.0
auki,-8.77,160.7,78.21,85.0,100.0,4.79,SB,1595532871.0
charlestown,-32.95,151.67,50.0,100.0,0.0,2.93,AU,1595532871.0
nador,35.17,-2.93,80.6,83.0,0.0,4.7,MA,1595532715.0
portobelo,9.55,-79.65,81.0,78.0,93.0,13.0,PA,1595532871.0
udachnyy,66.42,112.4,48.2,93.0,75.0,4.47,RU,1595532872.0
saint-louis,16.33,-15.0,96.8,47.0,20.0,6.93,SN,1595532872.0
truth or consequences,33.13,-107.25,87.01,45.0,40.0,5.82,US,1595532872.0
port elizabeth,-33.92,25.57,53.6,81.0,0.0,2.24,ZA,1595532727.0
iwaki,37.05,140.88,70.0,96.0,100.0,2.55,JP,1595532872.0
christchurch,-43.53,172.63,26.6,92.0,51.0,1.12,NZ,1595532872.0
pangoa,-12.12,-73.0,78.26,76.0,52.0,3.11,PE,1595532872.0
kokopo,-4.35,152.26,77.67,81.0,0.0,9.24,PG,1595532872.0
ypsonas,34.69,32.96,82.4,88.0,0.0,5.82,CY,1595532873.0
contepec,20.02,-100.12,77.0,44.0,75.0,5.82,MX,1595532873.0
la primavera,5.49,-70.41,84.72,74.0,99.0,7.27,CO,1595532873.0
lavrentiya,65.58,-171.0,56.41,52.0,96.0,9.6,RU,1595532756.0
ketchikan,55.34,-131.65,55.4,100.0,90.0,9.17,US,1595532766.0
ranong,9.97,98.63,79.18,81.0,100.0,0.78,TH,1595532873.0
kirakira,-10.45,161.92,79.77,84.0,74.0,13.18,SB,1595532873.0
honningsvag,70.98,25.97,50.0,100.0,90.0,5.82,NO,1595532874.0
beitbridge,-22.22,30.0,53.58,69.0,0.0,8.57,ZW,1595532874.0
berbera,10.44,45.01,91.0,42.0,0.0,17.47,SO,1595532874.0
wlodawa,51.55,23.55,60.01,70.0,4.0,4.16,PL,1595532874.0
tigil,57.8,158.67,55.72,78.0,2.0,4.14,RU,1595532874.0
lardos,36.09,28.02,80.6,69.0,20.0,11.41,GR,1595532874.0
kota tinggi,1.74,103.9,77.0,94.0,20.0,0.2,MY,1595532874.0
lima,-12.04,-77.03,64.4,77.0,75.0,8.05,PE,1595532723.0
jackson,42.42,-122.83,84.0,22.0,1.0,6.93,US,1595532649.0
koumac,-20.57,164.28,67.01,83.0,0.0,3.78,NC,1595532875.0
korla,41.76,86.15,70.79,56.0,0.0,13.09,CN,1595532875.0
itarema,-2.92,-39.92,81.43,67.0,50.0,17.81,BR,1595532777.0
griffith,41.53,-87.42,80.01,57.0,90.0,4.38,US,1595532731.0
praia da vitoria,38.73,-27.07,73.4,60.0,20.0,4.16,PT,1595532713.0
san ramon,37.78,-121.98,80.01,49.0,1.0,9.17,US,1595532758.0
nyaunglebin,17.95,96.73,77.4,90.0,100.0,3.09,MM,1595532875.0
loiza,18.43,-65.88,87.8,70.0,40.0,21.92,PR,1595532875.0
le marin,14.47,-60.87,87.8,62.0,40.0,16.11,MQ,1595532875.0
nurota,40.56,65.69,91.4,24.0,74.0,6.93,UZ,1595532876.0
usevya,-7.1,31.23,67.01,40.0,0.0,2.93,TZ,1595532876.0
summerland,49.6,-119.67,78.8,36.0,40.0,5.82,CA,1595532876.0
mumbwa,-14.98,27.06,52.77,54.0,2.0,5.93,ZM,1595532876.0
kulhudhuffushi,6.62,73.07,81.3,82.0,100.0,14.36,MV,1595532876.0
great falls,47.5,-111.3,82.0,47.0,1.0,17.22,US,1595532830.0
leningradskiy,69.38,178.42,46.94,69.0,51.0,13.24,RU,1595532752.0
brae,60.4,-1.35,57.2,82.0,75.0,12.75,GB,1595532877.0
cockburn town,21.46,-71.14,83.16,77.0,99.0,20.56,TC,1595532861.0
andilamena,-17.02,48.58,53.91,91.0,57.0,12.1,MG,1595532877.0
amahai,-3.33,128.92,76.03,88.0,58.0,3.74,ID,1595532877.0
la ronge,55.1,-105.28,75.2,78.0,75.0,6.93,CA,1595532744.0
the valley,18.22,-63.06,84.2,70.0,40.0,16.11,AI,1595532639.0
chandpur,29.15,78.27,82.08,72.0,4.0,10.63,IN,1595532877.0
caravelas,-17.71,-39.25,73.53,75.0,56.0,6.15,BR,1595532739.0
tabuk,17.42,121.44,73.99,85.0,66.0,2.48,PH,1595532877.0
pacific grove,36.62,-121.92,64.4,68.0,90.0,5.82,US,1595532877.0
ust-nera,64.57,143.2,74.5,52.0,43.0,1.97,RU,1595532728.0
port keats,-14.25,129.55,63.32,38.0,0.0,10.2,AU,1595532878.0
flagstaff,35.2,-111.65,80.01,38.0,1.0,9.17,US,1595532826.0
bograd,54.23,90.83,59.0,82.0,100.0,8.95,RU,1595532878.0
college,64.86,-147.8,60.8,67.0,75.0,3.6,US,1595532746.0
kununurra,-15.77,128.73,53.6,40.0,0.0,4.7,AU,1595532737.0
teguise,29.06,-13.56,75.2,73.0,20.0,16.11,ES,1595532878.0
thurso,58.59,-3.53,55.4,93.0,90.0,5.82,GB,1595532878.0
terney,45.05,136.61,60.28,90.0,86.0,3.42,RU,1595532878.0
kathmandu,27.72,85.32,69.8,100.0,90.0,3.36,NP,1595532673.0
luderitz,-26.65,15.16,69.8,37.0,0.0,2.24,NA,1595532720.0
ballina,-28.87,153.57,59.0,93.0,90.0,6.93,AU,1595532772.0
durango,24.83,-104.83,77.45,44.0,96.0,8.28,MX,1595532768.0
nagyigmand,47.64,18.08,78.01,50.0,1.0,3.56,HU,1595532879.0
sola,-13.88,167.55,78.8,94.0,90.0,4.7,VU,1595532879.0
dublin,37.7,-121.94,79.0,49.0,1.0,9.17,US,1595532674.0
port augusta,-32.5,137.77,37.4,75.0,16.0,3.36,AU,1595532879.0
anzio,41.49,12.62,78.8,88.0,20.0,2.24,IT,1595532879.0
humaita,-7.51,-63.02,92.57,42.0,99.0,1.5,BR,1595532879.0
weligama,5.97,80.42,78.15,87.0,98.0,9.64,LK,1595532880.0
mangrol,21.12,70.12,83.57,83.0,100.0,13.0,IN,1595532880.0
popondetta,-8.75,148.25,71.91,86.0,0.0,2.28,PG,1595532782.0
artesia,33.87,-118.08,72.0,72.0,90.0,6.93,US,1595532767.0
mehamn,71.04,27.85,50.0,100.0,90.0,3.36,NO,1595532880.0
manokwari,-0.87,134.08,79.45,67.0,1.0,2.55,ID,1595532880.0
shyroke,47.69,33.26,64.4,45.0,0.0,6.71,UA,1595532880.0
maine-soroa,13.21,12.02,84.38,53.0,100.0,6.15,NE,1595532880.0
nabire,-3.37,135.48,74.93,87.0,15.0,4.29,ID,1595532880.0
riyadh,24.69,46.72,96.8,32.0,0.0,3.36,SA,1595532581.0
san patricio,19.22,-104.7,84.2,83.0,75.0,6.93,MX,1595532724.0
viransehir,37.24,39.76,84.52,16.0,0.0,1.7,TR,1595532881.0
meulaboh,4.14,96.13,74.82,90.0,100.0,2.26,ID,1595532752.0
opuwo,-18.06,13.84,58.32,33.0,0.0,8.46,NA,1595532728.0
san lawrenz,36.06,14.2,82.99,42.0,0.0,3.36,MT,1595532881.0
tres arroyos,-38.37,-60.28,48.87,95.0,100.0,11.39,AR,1595532881.0
eirunepe,-6.66,-69.87,94.44,36.0,49.0,0.98,BR,1595532881.0
danjiangkou,32.54,111.51,69.01,93.0,100.0,2.71,CN,1595532881.0
iralaya,15.0,-83.23,89.6,70.0,40.0,9.17,HN,1595532769.0
mezen,65.85,44.24,64.26,86.0,100.0,8.77,RU,1595532882.0
kalianget,-7.05,113.93,78.42,76.0,91.0,13.04,ID,1595532882.0
kavieng,-2.57,150.8,82.72,74.0,17.0,7.05,PG,1595532748.0
iqaluit,63.75,-68.51,50.0,81.0,75.0,4.7,CA,1595532776.0
biak,-0.91,122.88,75.54,84.0,72.0,7.72,ID,1595532882.0
vestmanna,62.16,-7.17,51.8,87.0,74.0,5.82,FO,1595532882.0
awbari,26.59,12.78,80.73,21.0,0.0,5.99,LY,1595532762.0
tazovskiy,67.47,78.7,44.92,77.0,0.0,13.02,RU,1595532882.0
wanlaweyn,2.62,44.89,75.31,67.0,87.0,19.08,SO,1595532883.0
savelugu,9.62,-0.83,79.59,77.0,100.0,4.54,GH,1595532883.0
houma,29.6,-90.72,84.2,83.0,75.0,13.87,US,1595532783.0
andros,37.83,24.93,84.0,42.0,0.0,18.34,GR,1595532883.0
stephenville,32.22,-98.2,95.0,39.0,40.0,9.17,US,1595532636.0
acari,-15.43,-74.62,69.13,52.0,57.0,9.26,PE,1595532775.0
kaniama,-7.57,24.18,67.98,32.0,0.0,3.33,CD,1595532883.0
asau,46.43,26.4,62.01,97.0,73.0,4.81,RO,1595532776.0
petropavlovsk-kamchatskiy,53.05,158.65,53.6,100.0,40.0,2.24,RU,1595532659.0
ararat,39.83,44.7,71.6,64.0,75.0,14.99,AM,1595532884.0
hospet,15.27,76.4,75.6,82.0,100.0,6.15,IN,1595532884.0
micoud,13.82,-60.9,87.8,66.0,20.0,19.46,LC,1595532884.0
kamina,-8.74,24.99,63.39,38.0,0.0,3.6,CD,1595532884.0
beira,-19.84,34.84,68.0,88.0,75.0,10.29,MZ,1595532884.0
orlik,52.52,99.83,51.89,65.0,61.0,1.63,RU,1595532884.0
porto nacional,-10.71,-48.42,91.4,31.0,40.0,6.93,BR,1595532775.0
seidu,9.02,-10.6,68.92,100.0,100.0,6.55,SL,1595532885.0
smithers,54.78,-127.17,60.8,67.0,75.0,3.36,CA,1595532625.0
tsogni,-2.79,10.1,70.3,85.0,79.0,4.43,GA,1595532885.0
san cristobal,7.77,-72.22,87.8,43.0,75.0,17.22,VE,1595532738.0
oliveira dos brejinhos,-12.32,-42.9,82.42,37.0,2.0,8.84,BR,1595532885.0
puerto carreno,6.19,-67.49,84.2,66.0,40.0,9.17,CO,1595532885.0
pokhara,28.23,83.98,71.28,82.0,93.0,0.78,NP,1595532885.0
turukhansk,65.82,87.98,53.11,72.0,84.0,5.79,RU,1595532885.0
emmett,43.87,-116.5,88.0,35.0,0.0,4.0,US,1595532757.0
tilichiki,60.47,166.1,54.36,71.0,0.0,3.94,RU,1595532780.0
alice springs,-23.7,133.88,35.6,69.0,0.0,4.7,AU,1595532886.0
acapulco,16.86,-99.89,86.0,79.0,40.0,8.05,MX,1595532716.0
wilmington,34.23,-77.94,95.0,49.0,75.0,10.29,US,1595532823.0
lufilufi,-13.87,-171.6,81.16,81.0,37.0,19.37,WS,1595532774.0
cayenne,4.93,-52.33,82.4,69.0,40.0,11.41,GF,1595532642.0
srednekolymsk,67.45,153.68,75.78,42.0,30.0,7.18,RU,1595532886.0
dubbo,-32.25,148.62,35.6,100.0,0.0,10.29,AU,1595532886.0
darlowo,54.42,16.41,57.02,73.0,0.0,7.05,PL,1595532886.0
del rio,29.36,-100.9,98.6,39.0,20.0,11.41,US,1595532886.0
straumen,63.87,11.3,53.6,71.0,75.0,21.92,NO,1595532887.0
kalabo,-14.97,22.68,57.87,36.0,1.0,6.13,ZM,1595532887.0
krasnorechenskiy,44.63,135.35,59.59,91.0,54.0,0.69,RU,1595532887.0
monrovia,6.3,-10.8,76.69,85.0,100.0,13.02,LR,1595532779.0
vila velha,-20.33,-40.29,78.01,61.0,20.0,10.29,BR,1595532760.0
gladstone,-23.85,151.25,59.0,82.0,31.0,6.93,AU,1595532887.0
depalpur,22.85,75.55,79.68,80.0,79.0,6.29,IN,1595532887.0
nouadhibou,20.93,-17.03,73.4,78.0,2.0,18.34,MR,1595532887.0
inhambane,-23.86,35.38,64.4,82.0,40.0,11.56,MZ,1595532744.0
veere,51.55,3.67,68.0,64.0,97.0,14.99,NL,1595532887.0
lusambo,-4.97,23.45,77.92,32.0,6.0,1.34,CD,1595532888.0
sayyan,15.17,44.32,65.48,63.0,68.0,2.71,YE,1595532888.0
kenora,49.82,-94.43,78.8,41.0,40.0,13.87,CA,1595532888.0
bambous virieux,-20.34,57.76,68.0,68.0,75.0,18.34,MU,1595532711.0
cedar city,37.68,-113.06,80.6,24.0,1.0,18.34,US,1595532888.0
portland,45.52,-122.68,66.99,68.0,90.0,3.36,US,1595532460.0
naron,43.52,-8.15,66.2,82.0,40.0,8.05,ES,1595532787.0
matamoros,25.53,-103.25,84.2,45.0,75.0,5.82,MX,1595532888.0
broken hill,-31.95,141.43,37.4,86.0,0.0,5.82,AU,1595532762.0
kharan,28.58,65.42,86.5,34.0,0.0,10.04,PK,1595532888.0
tabou,4.42,-7.35,75.67,86.0,72.0,9.66,CI,1595532888.0
puerto baquerizo moreno,-0.9,-89.6,73.4,78.0,75.0,11.41,EC,1595532746.0
sarangani,5.4,125.46,83.95,74.0,91.0,10.29,PH,1595532889.0
najran,17.49,44.13,95.0,24.0,40.0,6.93,SA,1595532889.0
homer,59.64,-151.55,59.0,72.0,1.0,4.7,US,1595532889.0
santa cruz,-17.8,-63.17,82.4,61.0,40.0,12.75,BO,1595532604.0
xinyu,27.8,114.93,80.56,82.0,100.0,1.52,CN,1595532889.0
kitangari,-10.65,39.33,60.62,73.0,0.0,5.84,TZ,1595532889.0
shache,38.42,77.24,75.24,21.0,8.0,7.05,CN,1595532889.0
moundou,8.57,16.08,73.06,86.0,100.0,5.1,TD,1595532889.0
timra,62.49,17.33,52.0,76.0,100.0,14.99,SE,1595532889.0
geilo,60.53,8.21,52.0,61.0,14.0,4.5,NO,1595532890.0
esmeraldas,-19.76,-44.31,75.2,38.0,0.0,6.93,BR,1595532890.0
orange cove,36.62,-119.31,82.4,45.0,1.0,4.92,US,1595532890.0
atar,20.52,-13.05,100.35,23.0,0.0,15.61,MR,1595532729.0
estelle,29.85,-90.11,84.2,88.0,75.0,12.75,US,1595532890.0
codrington,-38.27,141.97,37.8,90.0,100.0,9.04,AU,1595532760.0
sao jose da coroa grande,-8.9,-35.15,75.97,76.0,63.0,10.25,BR,1595532707.0
alofi,-19.06,-169.92,73.4,85.0,90.0,10.29,NU,1595532716.0
thinadhoo,0.53,72.93,83.25,70.0,100.0,3.78,MV,1595532890.0
navalmoral de la mata,39.89,-5.54,82.0,44.0,5.0,5.97,ES,1595532891.0
hami,42.8,93.45,76.68,41.0,62.0,6.44,CN,1595532711.0
henties bay,-22.12,14.28,66.99,62.0,0.0,1.01,NA,1595532783.0
xai-xai,-25.05,33.64,65.26,84.0,91.0,6.38,MZ,1595532891.0
latung,5.5,120.88,83.88,71.0,100.0,9.04,PH,1595532891.0
strezhevoy,60.73,77.59,55.4,71.0,29.0,4.47,RU,1595532891.0
goderich,43.75,-81.72,82.0,75.0,1.0,17.2,CA,1595532728.0
rodeo,38.03,-122.27,79.0,50.0,1.0,9.06,US,1595532891.0
wajima,37.4,136.9,70.09,85.0,100.0,4.68,JP,1595532891.0
vilhena,-12.74,-60.15,89.6,35.0,0.0,9.17,BR,1595532892.0
curumani,9.2,-73.54,87.04,67.0,100.0,2.37,CO,1595532892.0
lindenwold,39.82,-75.0,90.0,62.0,75.0,4.7,US,1595532729.0
oksfjord,70.24,22.35,50.0,100.0,75.0,4.7,NO,1595532892.0
san andres,12.58,-81.7,87.8,66.0,75.0,13.87,CO,1595532892.0
inuvik,68.35,-133.72,59.0,51.0,75.0,13.87,CA,1595532892.0
rohnert park,38.34,-122.7,71.6,64.0,1.0,7.63,US,1595532746.0
bretzfeld,49.18,9.44,73.99,46.0,57.0,5.82,DE,1595532892.0
yulara,-25.24,130.99,41.0,65.0,0.0,4.7,AU,1595532767.0
muravlenko,63.79,74.52,50.4,73.0,0.0,11.01,RU,1595532759.0
jijiga,9.35,42.8,61.09,84.0,21.0,10.58,ET,1595532731.0
pinawa,50.15,-95.88,83.35,38.0,9.0,12.66,CA,1595532893.0
kaeo,-35.1,173.78,48.0,3.0,5.0,3.0,NZ,1595532893.0
redmond,47.67,-122.12,68.0,76.0,57.0,5.88,US,1595532843.0
ahipara,-35.17,173.17,55.49,75.0,2.0,11.14,NZ,1595532733.0
malartic,48.13,-78.13,79.0,47.0,40.0,8.05,CA,1595532605.0
madang,-5.22,145.8,76.05,89.0,8.0,2.68,PG,1595532894.0
maseru,-29.32,27.48,39.6,62.0,0.0,1.95,LS,1595532894.0
yarmouth,41.71,-70.23,86.0,66.0,1.0,18.34,US,1595532741.0
borogontsy,62.67,131.17,59.29,78.0,0.0,4.97,RU,1595532895.0
havelock,34.88,-76.9,90.0,65.0,10.0,10.0,US,1595532895.0
khorramshahr,30.44,48.17,95.0,63.0,0.0,4.7,IR,1595532895.0
kruszwica,52.68,18.33,61.0,67.0,14.0,4.18,PL,1595532895.0
tanout,14.97,8.89,88.39,42.0,46.0,10.31,NE,1595532895.0
xudat,41.63,48.68,75.74,46.0,51.0,5.79,AZ,1595532896.0
brigg,53.55,-0.49,64.4,88.0,88.0,10.29,GB,1595532896.0
rochegda,62.8,43.25,60.93,99.0,100.0,5.08,RU,1595532896.0
anadyr,64.75,177.48,53.6,81.0,98.0,4.47,RU,1595532751.0
coihaique,-45.58,-72.07,24.8,79.0,75.0,4.7,CL,1595532896.0
ulaanbaatar,47.91,106.88,55.4,87.0,95.0,2.24,MN,1595532798.0
mpongwe,-13.51,28.16,57.06,49.0,0.0,10.67,ZM,1595532897.0
banff,51.18,-115.57,66.0,84.0,7.0,5.99,CA,1595532897.0
prince rupert,54.32,-130.32,53.6,100.0,90.0,8.05,CA,1595532897.0
smirnykh,49.75,142.83,50.56,90.0,100.0,2.21,RU,1595532897.0
soyo,-6.13,12.37,72.12,82.0,0.0,8.59,AO,1595532897.0
dangtu,31.57,118.49,78.01,100.0,75.0,4.47,CN,1595532897.0
victoria,22.29,114.16,84.0,79.0,91.0,6.49,HK,1595532435.0
varhaug,58.61,5.65,55.99,95.0,100.0,7.18,NO,1595532897.0
shimoda,34.67,138.95,68.0,95.0,99.0,4.65,JP,1595532732.0
yurimaguas,-5.9,-76.08,89.6,66.0,40.0,4.7,PE,1595532898.0
markivka,49.52,39.57,59.38,70.0,38.0,4.09,UA,1595532898.0
itoman,26.12,127.67,84.2,83.0,40.0,12.75,JP,1595532898.0
monster,52.03,4.17,70.0,56.0,87.0,4.0,NL,1595532898.0
santa isabel do rio negro,-0.41,-65.02,86.25,72.0,61.0,1.52,BR,1595532898.0
wanaka,-44.7,169.15,30.0,78.0,0.0,3.0,NZ,1595532898.0
penzance,50.12,-5.54,64.0,100.0,90.0,11.41,GB,1595532764.0
acarau,-2.89,-40.12,82.04,66.0,75.0,17.83,BR,1595532763.0
merke,42.87,73.18,76.66,29.0,0.0,8.57,KZ,1595532898.0
xalpatlahuac,17.47,-98.62,76.05,71.0,37.0,1.16,MX,1595532898.0
